uid,page_title,page_author,page_time,page_content,viewHref
2045000,"[笔记本]
收一台笔记本电脑",二雷雷,2017-1-7 21:08:37,千元以内有意联系QQ2391412644,http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045000
2045002,"[招兼职]
新媒体运营实习生招聘",joeyolui,2017-1-7 21:44:57," 本帖最后由 joeyolui 于 2017-1-7 21:46 编辑 

大家好我是软件学院14级的一个小同学，平常兼职在九章算法做Android方面的助教。公司嘛，是在美国的，主要是面向计算机方面的在线教育（类似Coursea、Udacity那种）。工资待遇还是不错的（比起工作量来说），能补贴个生活2333。然后现在公司开始招募新媒体运营了，要我们来学校的论坛发发帖子招募一下~感兴趣的同学可以联系。有问题的也可以回复。

下面是原招聘资料。
 引用:九章算法是一支美国硅谷的创业团队，是一个以 Computer Science 为核心的在线教育平台。核心成员均为 Facebook, Google, Apple 等美国硅谷IT企业的在职工程师，团队成员均毕业于北大、清华、复旦等名校。官方网站www.jiuzhang.com。

你的工作职责：

* 你将成为九章算法微信公众号的小编之一，参与九章算法新媒体的日常运营；
* 你将频繁接触Facebook, Google, Apple 等美国硅谷IT企业的员工 和各个学校、各个专业的北美留学生，策划编辑有关硅谷、高科技、北美留学、北美求职等主题的资讯类文章；
* 你将充分运用脑洞，和团队协作，策划出让人印象深刻的趣味活动。
我们希望你……

* 关注高科技：关注高科技、科技创新等话题，对相关领域有浓厚兴趣；
* 熟练运用语言：有很好的文字表达能力，有过原创写作经历；
* 喜欢新媒体：熟悉微博、微信，经常在新媒体上关注时事热点；
* 有创造力：你喜欢关注身边出现的好的创意，自己也经常有让人惊喜的想法；
* 英语阅读能力强：能轻松阅读英文的新闻报道、博客文章
如果有这些技能点，加分！

* 图像编辑：能熟练使用Adobe Photoshop，Adobe Illustrator 或 Sketch；
* 翻译：有英中翻译能力和经历；
* 微信公众号运营经验：曾经做过微信公众号的编辑、排版工作
你还需要知道：

* 你最好是一位在校大学生；
* 我们的办公地点和时间完全灵活，完全可以在家办公，也不需要你坐班
* 我们不希望和你只有短暂的激情，所以希望你至少会连续实习3个月，每周至少工作24个小时
* 如果你希望加入我们，请发送个人简历到 info@jiuzhang.com，并附上至少一篇能体现你写作能力的原创文章或微信图文，体裁和内容不限。邮件标题请参照如下格式注明关键信息：学校—年级—专业—可实习的期限—姓名
",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045002
2045003,"[求购]
校内房寒假出租~整租/单间",End小神nice,2017-1-7 21:59:53,教师公寓13栋有房寒假出租，三室一厅。可整租可单租。设施齐全，价格优惠。适合留校的同学~有意向请联系17862701501。,http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045003
2045001,关于考研自习室的情侣们,善良的TT,2017-1-7 21:26:21,"407后排有两对情侣一星期以来都在打情骂俏，（细节不可描述）还买了零食咔哧咔哧。我和研友们不堪其扰，决定投降几天，转移战场期末复习。希望后排的情侣们能注意一下自己的行为举止，你有权利做自己的事情，但是麻烦不要发出那么大的声响影响其他人。既然占用了公共资源，希望能充分利用好资源本来没占到考研座位，以为在后排摆了自己的桌子没准环境能好些，没想到竟然.....嗨呀好气总之咱们下学期见。
",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045001
2045008,"[求租]
哈工大南门西20米单间出租",bingdianwenlu,2017-1-8 08:50:58,"此房安静干净,洗衣机、热水器、网齐全,适宜学习和口居住,有需要者可联系：15588329839或17863096626",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045008
2045011,"[求租]
青州街单间提前预定啦（限女生）",lucky22331,2017-1-8 10:17:08,"本人与同学在校南门青州街租下一套三居室，家电齐全（热水器、洗衣机、冰箱、空调、书桌、衣柜等全部配备）。
现欲出租其中一间阳面卧室，租金500每月（包水费、电费、网费、物业费），长租优先。现在可预定，开学后入住时开始计算房租。
联系电话or微信：18816303767。
只限女生，拒绝男生和情侣。来自: Android客户端",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045011
2045004,"[招家教]
招高三化学物理家教",湖泊地质工程,2017-1-7 22:14:23,本人孩子为高三艺术生，需要一名辅导高中化学和物理的家教老师，男女不限，要求熟悉高中化学和物理，认真耐心负责，有一定的家教经验，薪资为45-50元/小时，地点在古寨东路52号，古寨中学前，7路车可直达，上课时间为1月18号以后。有意者请请联系18660318482。,http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045004
2045006,女生考研求高层租房,Lius,2017-1-7 22:51:21,"本人女，准备在高层租个房子，顺便找个金融专硕的研友
联系qq343366238",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045006
2045007,"[原创]
尽管我有些混乱不清，但相信我并非有意。",可乐鸡翅,2017-1-7 22:56:46," 本帖最后由 可乐鸡翅 于 2017-1-8 17:22 编辑 

[media]http://music.163.com/style/swf/widget.swf?sid=2309623&type=2&auto=0&width=320&height=66[/media]
",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045007
2045013,"[杂货]
九成新iPad mini2处理",流弊,2017-1-8 11:18:40,"最近缺钱，九成新iPad mini2 1100RMB出（加上外壳），可小刀。
QQ:664229940
",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045013
