page_content,page_time
已到最后,20
"

特朗普（左）与卡尔·比尔特（右）。

　　国际在线专稿：据英国天空新闻网2月20日报道，就特朗普一再为自己关于瑞典移民问题的言论辩解一事，前瑞典首相卡尔·比尔特（Carl Bildt）给了特朗普“一条善意的建议”：不要再自掘坟墓了。
　　日前，特朗普因宣称瑞典在上周五发生了一件跟移民相关的安全事件而使瑞典全国上下感到困惑无比，后来他辩解称他的信息来自福克斯新闻网播出的一则新闻。
　　特朗普还说：“假新闻媒体正在试图告诉我们瑞典的移民问题解决得很好，事实上并不是这样！”
　　后来，白宫的发言人又为特朗普辩护称，特朗普的原意是指瑞典正在上升的犯罪率，而不是某个具体的事件。
　　但是瑞典的官方数据显示，自2005年以来，瑞典的犯罪率呈下降趋势，虽然瑞典接收了来自伊拉克和叙利亚等国的几十万难民。
　　对此，前瑞典首相卡尔·比尔特为特朗普提供了“一条善意的建议”：“如果你已经身处一个洞里，就不要再继续挖掘这个洞了。”
　　稍早前，比尔特还在推特上发帖称：去年，光佛罗里达州奥兰多的谋杀案就比整个瑞典的谋杀案多出近一半，真糟糕。
　　另外，“瑞典移民安全事件”后，特朗普的一些支持者甚至在网上指责瑞典媒体对于上周五发生在瑞典的移民安全事件隐瞒不报。但瑞典外交部发言人卡塔琳娜（Catarina Axelsson）表示，瑞典政府没有收到上周五有任何跟恐怖相关的事件报告。
　　标签：特朗普媒体连连看
　　Save
责任编辑：吴颜 
",201702211328
"

印度媒体报导受害者是当红女星巴瓦纳，不过，警方以本案为性侵案，不愿透露受害者姓名


外媒报道截图

　　[环球网综合报道] 据台媒2月21日报道，印度一位当红女星向警方报案，17日遇到假车祸，并被对方车上的数名男子轮奸。
　　事发当天，女星巴瓦纳（Bhavana）正坐在回家的车中，途中遭1辆轻型货车蓄意追撞，接着连人带车遭6名男子挟持。
　　随后暴徒们开着车子四处绕，并在车上对巴瓦纳实施了强奸。暴行持续了长达两个小时，女星还被拍照勒索。
　　印度警方21日逮获2名嫌疑犯，并查出共有7人涉案，而主谋是女星的前司机苏尼（Sunil Kumar aka Pulsar Suni），目前在逃。
　　这起女星遭性侵案震惊全国，演艺圈力挺受害女性勇敢站出来，让不法之徒早日绳之以法。
　　虽然印度媒体报导受害者是当红女星巴瓦纳，不过，警方以本案为性侵案，不愿透露受害者姓名。
责任编辑：吴颜 
",201702211325
"
　　中新网2月21日电 据日媒报道，日本千叶县富津市于20日宣布，在饲养日本猕猴的高宕山自然动物园内，现已确认其中164只中的约三分之一、57只为与特定外来生物恒河猕猴杂交后的物种，并已进行扑杀处理。
　　日本猕猴在该县房总半岛的日本猕猴栖息地内与野生恒河猕猴的杂交情况不断发生，该市于去年秋季起便对该园的全部猴类实施DNA调查。
　　该园为猴类动物园，获得该县下发的许可后，在围栏内饲养着一群日本猕猴。因对生态环境造成恶劣影响，恒河猕猴以及杂交物种为《外来生物法》的管制对象，不允许在该园内饲养。
　　然而，猴子利用围栏的缝隙等外出后，在园外与恒河猕猴杂交的情况令人担忧。据悉，该市委托京都大学灵长类研究所等方面实施调查，结果显示有57只为杂交物种，该园在对其进行扑杀后已于15日举行了慰灵仪式。
责任编辑：吴颜 
",201702211322
"

韩联社配图

　　[环球时报-环球网报道 记者 金惠真 郭芳] “中国官方媒体连日炮轰称，执意给‘萨德’提供部署用地的乐天，请离中国远点”，21日，韩联社韩文版以此为题报道称，就乐天集团给“萨德”提供部署用地的问题，中国《环球时报》21日刊登社评及相关报道予以猛烈炮轰，称“乐天既挺‘萨德’，就请离中国远点吧”。《环球时报》记者注意到，在韩联社这篇报道的配图中，“萨德”瞄准了五星红旗。
　　此前，韩联社中文网文章“萨德”配图瞄准中国国旗，曾引发中国网民极大反感。1月8日，本报就此作出报道，并与韩联社相关方面进行交涉。1月18日，《环球时报》记者在检索韩联社中文网时发现，自从本报8日的报道刊出后，该网站更新的涉及“萨德”的新闻配图并未再出现五星红旗。
　　近日，《环球时报》记者获悉，乐天集团本月底将与韩国政府就签署换地协议。消息披露后，韩媒注意到，中国官方媒体20日火力全开，抨击韩国“引萨入韩”的决定将给地区安全与稳定带来威胁，并向乐天集团“放话”称，如果乐天最终决定给“萨德”部署提供用地，其在华事业将受到严重影响。然而，韩联社20日援引“乐天集团相关人士”的话称，朝鲜试射导弹让韩国的国家安全形势日趋严峻，因此乐天给“萨德”系统提供部署用地的决定不会发生变化。该人士还表示：乐天集团将在“短期内会召开理事会，最早将于本月内做出最终决定。”
 
Save
责任编辑：吴颜 
",201702211218
"
　　中新网2月21日电 据外媒报道，澳大利亚维多利亚州警方称，当地时间21日上午9时左右，一架载有5人的轻型飞机撞到墨尔本伊森顿机场附近的购物中心后坠毁并引发大火，机上人员全部丧生。澳大利亚总理对这一事故表示哀悼。
　　据报道，这架双引擎飞机从墨尔本以北12公里的伊森顿机场起飞后不久，因引擎故障试图返航未果，撞上机场附近的大型购物中心，引发严重火灾，购物中心建筑严重受损。
　　澳大利亚总理特恩布尔在社交网络上发文表示：“对于今天发生在伊森顿的事故感到悲痛。我们的心和祈祷与遇难者及其家属同在。”
　　澳大利亚维多利亚州州长安德鲁斯指出，这是近30年来发生在该州最严重的空难悲剧，相关调查工作已经展开。
　　维多利亚州警察局局长表示，机上无人生还。截至目前，尚无地面人员死伤报告。
　　据悉，遇难的5人中有美国公民，但美国驻堪培拉大使馆尚未证实这一消息，美国大使馆称正与当地警方进行密切沟通。
　　报道称，事故发生后，消防和急救人员迅速赶往现场展开救援，伊森顿机场被关闭，附近多条高速公路也被封闭。此外，受大火引发的浓烟影响，事故发生地点附近的3所学校也暂时停课。
　　报道指出，大火主要是由机上燃油引发的，所幸事故发生时，还没有到购物中心开业时间，购物中心内只有一些工作人员。
责任编辑：吴颜 
",201702211233
"
　　原标题：阿富汗副总统遭安全部队软禁 被指控“性虐”政敌
阿卜杜勒·拉希德·杜斯塔姆（资料图）
　　海外网2月22日电 据美国《华尔街日报》报道，21日阿富汗副总统阿卜杜勒·拉希德·杜斯塔姆被阿富汗安全部队软禁在其的住处，以配合调查。此前，杜斯塔姆被指控与他的9名保镖合作，绑架并性侵他的政治对手。
　　阿富汗政府一名发言人说，杜斯塔姆将被软禁，一步都不能离开，也不能去他的办公室，直到事情调查清楚为止，那时政府将决定是否将其告上法庭。
　　“他必须配合调查，并将他的警卫移交（给我们）审问，”该发言人说。
　　据报道，杜斯塔姆拥有高达1000人的个人武装力量，阿富汗安全部队的这一举动引起人们关于双方会否发生暴力冲突的担心。
　　报道称，杜斯塔姆是阿富汗近代历史上举足轻重的人物，他的个人武装力量经常在防御战时与政府军作斗争。他和他的个人民兵组织经常被人权组织指控，“人权观察”组织曾指控他的个人民兵2001年曾杀死数百名塔利班囚犯。
　　2016年12月13日，阿富汗朱兹詹省前省长艾哈迈德·艾什奇指控第一副总统杜斯塔姆对他进行拘禁虐待。失踪两周的艾什奇12月10日公开露面，声称遭杜斯塔姆及其手下毒打，并遭到死亡威胁和“性侵犯”。他说，11月24日，他和杜斯塔姆双方的团队进行了一场阿富汗传统的叼羊比赛（双方队员骑马争夺无头山羊尸体），期间他突然遭杜斯塔姆方面绑架。在杜斯塔姆的住所，艾什奇被强迫脱光衣服，还遭到杜斯塔姆保镖的毒打。艾什奇说，对方使用AK步枪对他的身体进行侵犯，杜斯塔姆甚至还在保镖对他实施“性虐待”时拍照。在被杜斯塔姆非法关押5天后，艾什奇又被移交给阿富汗国家安全局继续关押11天才获释。
　　阿富汗第一副总统办公室随后发表声明，否认相关指控，并称这是对杜斯塔姆的挑衅。声明还指责艾什奇从事“亲武装分子”活动，并进一步补充说，他是因涉嫌支持武装分子近期在朱兹詹省的暴乱活动而遭阿安全机构拘捕的。声明还说，显然是有人在背后搞阴谋，试图抹黑杜斯塔姆的国际形象。
　　阿富汗哈玛通讯社报道称，艾什奇曾担任杜斯塔姆家乡朱兹詹省省长，被视为杜斯塔姆的政治对手。30多年前，苏联支持的阿富汗政府土崩瓦解，杜斯塔姆在军阀割据中逐渐成为当地准军事武装领袖。但艾什奇不服气，拒绝服从他的指挥，两人从那时起结怨。
　　来源：海外网
责任编辑：刘光博 
",201702221257
"
　　原标题：经济学宗师肯尼斯·阿罗辞世 系最年轻诺奖得主
　　22日据斯坦福大学官网最新消息，美国经济学家、诺贝尔奖得主、战后新古典经济学开创者之一肯尼斯• J• 阿罗（Kenneth J。 Arrow）已于美国时间2月21日去世，享年95岁。
斯坦福大学官网讣告
　　1972年，由于在一般均衡论和社会福利经济学方面的成就，51岁的美国经济学家肯尼斯·阿罗与英国经济学家约翰·希克斯共同获得了瑞典皇家科学院颁发的第四届诺贝尔经济学奖。从那时起，阿罗成为自1969年诺贝尔经济学奖首次颁发以来最年轻的获得者，迄今无人超越。
　　2015年6月13日，已年届94岁高龄的阿罗曾到访中国，在重庆参加研讨“中国经济新常态与深化综合改革”，阿罗在会上作了题为《人类纪元的环境问题：价值、理性与公平》的演讲。
责任编辑：刘光博 
",201702221158
"
　　原标题：特朗普再出重拳！千万美国非法移民将会被赶回老家？
　　虽然禁穆令夭折，但特朗普打击非法移民的力度并未减弱。
　　上月签署针对非法移民的总统行政令，这个月就出部门指示，扩大驱逐移民范围，加快驱逐流程。1000多万美国境内的非法移民都面临随时被驱逐的威胁。
　　当地时间本周二，美国国土安全部遵循上月特朗普签署的相关行政令，发布备忘录，宣布该部门执法过程中不再给予缺少合法身份的可驱逐“无证移民”（undocumented immigrants）豁免。
▲图片来源：美国国土安全部官网
　　特朗普政府再出重拳
　　美国国土安全部21日发布两份备忘录，落实美国总统特朗普此前签署的关于加强边境管控、限制非法移民的行政令。
　　这两份文件分别名为《落实总统边境安全和加强移民执法的政策》以及《执行移民法律以服务国家利益》，由国土安全部部长凯利20日签署并下发国土安全部各主要执法部门负责人。
▲图片来源：美国国土安全部官网
　　根据《落实总统边境安全和加强移民执法的政策》，这两份备忘录的出台旨在：
　　阻止非法移民并便利对没有合法理由进入或滞留美国的外国人进行识别、逮捕、关押和驱离。
　　这两份文件是对国土安全部全体人员的指导文件，将取代已有的相关政策或文件。
　　《落实总统边境安全和加强移民执法的政策》的具体措施包括：增加海关和边境保护局的执法人员数量；加强国土安全部长对于执法行动的指挥权；在美墨边境筑墙等。
　　据华尔街见闻报道，奥巴马执政时期，美国政府优先驱逐定罪为重罪或是近期跨境潜入的无证移民。上述国土部备忘录虽然也规定优先处理重罪无证移民，但扩大了优先驱逐的打击面：
　　即使无证移民嫌犯并未被定罪，也在优先驱逐之列；
　　只要某无证移民犯下移民相关的罪行，哪怕只是使用虚假文件，也会被国土部视为优先驱逐对象；
　　只要某无证移民被移民官认定对公共安全构成风险，就属于国土部优先驱逐的目标。
　　国土部表示，划定优先驱逐范围不针对守法的无证移民，但即便无证移民并未被列入优先驱逐目标，也免不了被驱逐出境，国土部将逐个案例考虑是否给予豁免。
　　以上规定意味着，更多美国南部边境的无证移民将被关押或遣返回墨西哥等待听审，而不是在美国本土被释放。移民驱逐流程会加快。
　　千万美国非法移民面临大驱逐
　　据华尔街见闻报道，国土部2012年估算，美国境内约有1140万非法移民，略低于2007年约1200万人的巅峰水平。
▲图片来源：视觉中国
　　特朗普上任首周就下令，大幅改变移民法执行方式，废除对驱逐非法移民的多数限制，为大规模拘留非法移民创造了条件。洛杉矶时报本月初估算，特朗普政府优先驱逐的非法移民可能多达800万人。
　　据央视网报道，鉴于美国境内有大约1100万的非法移民，未来特朗普政府将很有可能在打击非法移民问题上投入更多资源，文件显示国土安全部就将新招10000名雇员，此外地方警察部门也将参与针对非法移民的执法行动。
　　今年1月25日，特朗普签署了两项行政令，要求移民海关执法局（ICE）忽略奥巴马政府的优先驱逐目标，将尚未定罪的移民嫌犯也列入优先驱逐之列，还在裁定驱逐目标方面给予ICE很大自由度，并考虑将任何非法滞留美国的人都作为驱逐目标。
　　不过，本周二的备忘录显示，特朗普政府并未改动奥巴马政府保护非法移民子女的《童年入境暂缓遣返》计划（Deferred Action for Childhood Arrivals）。该计划为75万孩提时被父母非法带入美国的移民提供了保护。
　　另外，对于美国修建美墨边境墙的行政令，国土部备忘录的言辞暗示，可能用一种无形之墙来取代造墙。
　　特朗普1月27日颁布行政令，暂禁全球难民和西亚北非7国公民入境。2月3日，美国华盛顿州西区联邦地方法院法官詹姆斯·罗巴特作出裁决，在全美范围内暂停实施特朗普入境限制令。
▲图片来源：路透社
　　不过，据路透社今日（2月22日）报道，加拿大总理特鲁多表示，加拿大欢迎未拿到合法身份的避难者前往加拿大申请避难，但加拿大会采取相关措施保障社区安全。 
责任编辑：刘光博 
",201702221411
"
　　原标题：巴西财长说巴西经济衰退已结束
　　新华社巴西利亚2月21日电（记者张启畅）巴西财政部长恩里克·梅雷莱斯21日表示，从2014年下半年开始的经济衰退已基本结束，但巴西仍未彻底摆脱这场经济危机的不良影响。
　　梅雷莱斯说，无论从持续时间还是影响面来看，这轮经济衰退都是巴西前所未有的。“经济衰退目前已基本结束，但其造成的不良影响还将持续一段时间，如高失业率。”
　　他同时表示，尽管现阶段巴西经济增速很慢，但随着各项指标向好发展，经济增长年内有望回到令人满意的水平，目前巴西企业和民众对经济的信心正在逐步恢复。
　　此间专家认为，失业率等数据依旧不佳，表明巴西经济离彻底走出困境还有一段距离。巴西央行预计，今年巴西经济仅将微弱增长0.49%。
　　巴西地理统计局将于下月初公布去年经济数据。巴西央行上周发布的经济活动指数显示，去年巴西经济跌幅或达4.34%。
责任编辑：李伟山 
",201702221346
