page_content,page_time
已到最后,20172
"
　　原标题：国台办原副主任龚清概受贿案一审：受贿超5352万
　　2017年2月22日，河南省安阳市中级人民法院一审公开开庭审理了中共中央台湾工作办公室、国务院台湾事务办公室原副主任龚清概受贿一案。安阳市人民检察院派员出庭支持公诉，被告人龚清概及其辩护人到庭参加诉讼。 安阳市人民检察院指控：1996年至2015年，被告人龚清概利用担任福建省晋江市人民政府市长、中共晋江市委书记、福建省南平市人民政府市长、中共福建省委平潭综合实验区工作委员会书记兼管理委员会主任等职务上的便利，为相关单位或个人在征用土地、调整规划、获得政府补助金等事项上提供帮助，直接或通过其亲属索取、非法收受相关人员给予的财物共计折合人民币5352.9186万元。依法应以受贿罪追究龚清概的刑事责任。 庭审中，检察机关出示了相关证据，龚清概及其辩护人进行了质证，控辩双方充分发表了意见，龚清概进行了最后陈述，当庭表示认罪悔罪。 人大代表、政协委员、新闻记者及各界群众60余人旁听了庭审。 最后法庭宣布休庭，择期宣判。
责任编辑：李伟山 
",201702221641
"
　　原标题：河南鄢陵县“KTV找小姐校长”已被撤职、留党察看
　　中新网许昌2月22日电（记者 刘鹏）记者22日从河南鄢陵县官方获悉，日前被曝在歌厅找小姐作陪的该县程岗小学校长程俊民，被当地纪委给予留党察看一年并行政撤职的处分。
　　近日，网上一则反映河南鄢陵县一农村小学校长程某违规接受唱歌并找小姐作陪等违纪行为的网帖，引发公众关注。帖文中称，作为党员的程某在KTV小姐作陪期间有不雅行为。
　　这条反映贴同时爆料，程某在程岗小学违规开办学前班并私自侵吞收入，还将国家发放给学生每学期每人的360元补助款截留。
　　鄢陵县纪委信访室工作人员此前受访时透露，被反映人程某曾多次被投诉至市、县纪检部门。
　　针对此事，22日，鄢陵县委宣传部向记者发来一份当地纪委的调查处理通报。根据通报，网帖中的程某系程岗小学校长程俊民，近期鄢陵县纪委组成调查组对程俊民有关问题进行了调查。2月21日，县纪委常委会根据调查结果研究决定，给予程俊民留党察看一年并撤销行政职务处分。
　　记者注意到，这份通报并未提及网帖反映的程俊民有关违纪情况是否属实，但鄢陵县委宣传部一负责人向记者透露，网帖中曝出的程俊民在KTV找小姐作陪一事发生在2014年。（完）
责任编辑：李伟山 
",201702221612
"
　　原标题：诺如病毒致无锡一小学55名学生“中招” 学校停课7天
　　中新网南京2月22日电 （记者 孙权） 记者22日从无锡市梁溪区教育局获悉，因诺如病毒传染源无法有效全面隔离，传播途径未有效切断，导致无锡市南长街小学疫情蔓延。根据无锡市、梁溪区疾控专家要求，经该局批准，无锡市南长街小学决定2月22日至2月28日全校停课7天。
　　据了解，无锡市南长街小学共有2098名学生，该校本月15日时发现诺如病毒，截至21日，学校累计发生病例55例，其中40例好转。
　　2月15日，无锡市南长街小学在常规晨检中发现该校五（1）班先后有8名学生从2月14日晚上到2月15日凌晨出现呕吐腹泻病例，且一（6）班、三（4）班也分别有2例。当天，学校就启动了《传染病、流行性疾病应急预案》，并在放学时下发相关《告家长书》，提醒家长注意。
　　2月16日，梁溪区疾控中心根据采样抽检，确诊发生在无锡市南长街小学的病例为诺如病毒感染性腹泻，根据疾控中心建议，学校五（1）班当天上午停课。
　　鉴于诺如病毒的高传染性，根据梁溪区疾控专家建议，经梁溪区教育局批准，无锡市南长街小学2月20日曾停课一天。2月21日复课后，无锡市南长街小学又新出现15例呕吐、腹泻病例，并且呈班级多发散状分布。
　　无锡市、梁溪区疾控中心专家到学校现场调查后，认为传染源无法有效全面隔离，传播途径未有效切断，导致学校疫情蔓延。
　　经梁溪区教育局批准，目前无锡市南长街小学已执行2月22日至2月28日停课7天的要求。
　　记者了解到，停课期间，无锡市南长街小学将聘请具有专业设备和消毒资质的团队，协助学校做好病毒消杀工作，确保消毒质量。
　　同时，学校坚持“教师停课不停教、学生停课不停学”的原则，将通过网络、通讯等途径与家长和学生保持联系，灵活安排学习内容。
　　据悉，诺如病毒是当下季节比较常见的急性胃肠炎的病毒，其传染性特别强。该病毒通常会通过口、手接触等方式传播，也可通过水、食物、空气等传播。（完）
责任编辑：李伟山 
",201702221606
"
　　原标题：2017年春运全国铁路发送旅客3.57亿人次 破历史纪录
　　中新网北京2月22日电（记者 马学玲） 记者从中国铁路总公司获悉，2017年春运期间，全国铁路累计发送旅客3.57亿人次，增长10.1%，创铁路春运旅客发送新纪录。
　　2月21日，为期40天的2017年春运正式收官。22日，中国铁路总公司相关负责人向媒体通报了相关情况。
　　多项指标创春运历史新高
　　——高铁旅客发送量首次超过普速旅客列车
　　2017年春运期间，全国铁路累计发送旅客3.57亿人次，同比增加3275.2万人次，增长10.1%。日均发送旅客893万人次，同比增加81.9万人次，增长10.1%，旅客列车始发正点率达98.8%，终到正点率达92.4%。
　　其中，动车组旅客发送量1.8亿人次，同比增加3441.4万人次，增长23.5%，高铁旅客发送量首次超过普速旅客列车，成为春运旅客运输的绝对主力。
　　2月2日，全国铁路旅客发送量达1096.6万人，刷新了历年春运单日发送量的最高纪录。
　　网络购票成为主渠道
　　——75%以上车次取消验证码环节
　　中国铁路总公司进一步优化完善售票组织，大力实施互联网售票，强化服务功能，提升售票系统处理能力，合理设置车票预售期，进一步改善旅客购票体验。
　　2017年春运，全国铁路通过互联网累计发售车票32006.4万张，占总售票量72.8%，同比增长8.6%，75%以上车次取消验证码环节。
　　积极扩充线下售取票终端能力，部分大站设立取票和退票专区，旅客购、取、退票更加方便快捷。进一步完善实名制车票挂失补办办法，广大旅客普遍反映今年春运购票更加快捷，购票体验好于往年。
　　打造“智慧春运”
　　——部分车站开通机器人问询服务
　　今年春运期间，部分车站开通机器人问询服务，旅客可以通过机器人交流，了解旅客列车时刻、购票信息、地点指引等信息。
　　其中，北京站推出室内导航和客运综合服务系统，旅客可以使用微信“摇一摇”功能，快捷地获得站内导航、呼叫轮椅或“小红帽”服务。
　　深圳站提供微信预约重点旅客服务，为老弱病残孕及其他重点旅客开展一对一重点帮助，畅通旅客回家路。
　　北京、上海、广州、西安等地火车站推出自动验票机“刷脸”进站，进站仅耗时3秒，大范围开通智能检票口，替代人工检票，有效减少了旅客乘车等待、周转的时间。（完）
责任编辑：李伟山 
",201702221540
"
　　原标题：保监会：2016年严格依法监管 对保险机构罚款7836万元
　　中新网2月22日电 保监会主席项俊波今日在国新办新闻发布会上介绍，2016年，保监会共计对保险机构罚款7836万元、对相关责任人罚款1754万元。
　　国务院新闻办公室下午举行新闻发布会，请中国保险监督管理委员会主席项俊波介绍加强保险市场监管，服务实体经济发展等方面情况，并答记者问。
　　项俊波首先对去年的工作做了一个盘点。他指出，2016年，保险业监管和改革发展方面取得了积极成效。一是全面严格依法监管。正式实施偿二代，在监管技术上实现了从规模导向到风险导向、从重大风险广覆盖向全覆盖、从静态监管向动态监管的转变。重拳出击，在全行业深入开展“两个加强、两个遏制”回头看、保护保险消费者权益的“亮剑”行动，万能险业务专项检查等监管举措。在全系统部署各类现场检查2800余次，对612家次机构、820人次的个人进行了行政处罚，共计对保险机构罚款7836万元、对相关责任人罚款1754万元。
　　二是坚决守住风险底线。2016年末保险公司整体偿付能力充足率达到247%，远高于100%的警戒线，行业没有出现大的风险事件。2016年末保险保障基金余额达到942亿元，防控和化解风险的能力明显增强。针对可能出现的风险苗头和风险累积，从完善制度、风险排查、压力测试等方面加强监管，坚持抓早控小，坚决把风险消灭在萌芽状态。
　　三是有力服务国家大局。保险业全面深化改革成效显著。2016年，全国保费收入达到3.1万亿元，同比增长27.5%，有望超过日本跃居世界第2位。保险业为全社会提供风险保障2373万亿元，赔付1.05万亿元，在助力实体经济发展、脱贫攻坚战略、保障改善民生等方面发挥了积极作用。到2016年末，保险资金运用余额13.39万亿元，其中：通过基础设施投资计划、未上市股权、信托等方式服务实体经济和国家战略超过4万亿元；债券4.3万亿元，证券投资基金和股票1.78万亿元，为资本市场的稳定发展提供了有力支持。
责任编辑：李伟山 
",201702221547
"
　　原标题：保监会：绝不能把保险办成富豪俱乐部 被金融大鳄藏身
　　中新网2月22日电 国新办22日举办新闻发布会，保监会主席项俊波在谈及今年重点工作时表示，对个别浑水摸鱼、火中取栗且不收敛、不收手的机构，依法依规采取顶格处罚，坚决采取停止新业务、处罚高管人员直至吊销牌照等监管措施，绝不能把保险办成富豪俱乐部，更不容许保险被金融大鳄所借道和藏身。
人民币资料图 中新网记者 金硕 摄
　　国务院新闻办公室今天举行新闻发布会，请中国保险监督管理委员会主席项俊波介绍加强保险市场监管，服务实体经济发展等方面情况。
　　项俊波介绍了2017年保险业监管思路和重点工作，他称，今年会重点做好以下几项工作：
　　（一）更好地贯彻落实“稳中求进”总基调。对恪守正确理念、长期经营稳健的公司，重点在“进”，鼓励和支持其加大创新力度，运用新业态、新技术服务经济社会发展；对成立时间短、处于成长阶段的公司，重点在“稳”，注重引导其遵循行业发展规律，步入科学发展的正轨；对激进发展、盲目扩张以及挑战监管底线的极个别公司，重点在“严”，保持高压态势，坚决控制其无序扩张、激进投资，消除风险隐患。
　　（二）把防控风险放到更加重要的位置。重点围绕公司治理、保险产品和资金运用三个关键领域，下决心处置潜在风险点。对个别浑水摸鱼、火中取栗且不收敛、不收手的机构，依法依规采取顶格处罚，坚决采取停止新业务、处罚高管人员直至吊销牌照等监管措施，绝不能把保险办成富豪俱乐部，更不容许保险被金融大鳄所借道和藏身。在保险市场就必须遵守保险监管的规矩，就必须承担保险业对社会、对实体经济、对人民群众的社会责任，容不得你挑战监管的底线、破坏行业的形象、损害群众的利益，否则就要坚决把它驱逐出保险行业。
　　（三）推动保险业更好地服务经济社会发展。一方面，更好地发挥风险保障的核心功能，推动保险业服务脱贫攻坚战略，全力做好大病扶贫、农险扶贫、产业扶贫；服务实体经济发展，支持“三去一降一补”，加快科技与保险结合创新试点；服务国家和社会治理体系建设，加快重点领域责任保险发展，推动商业保险积极参与多层次养老和医疗保障体系建设。另一方面，更好地发挥保险资金的长期投资优势，引导保险资金坚持价值投资、长期投资、稳健投资原则，不断加大对实体经济和国家重大战略的资金支持力度。
责任编辑：李伟山 
",201702221527
"
　　原标题：国家安监总局通报娄底煤矿爆炸、天台足浴中心火灾等近期几起事故调查进展
　　国家安监总局今天召开新闻发布会，通报了近期发生的几起事故的调查情况。
　　湖南娄底祖保煤矿井下爆炸事故
　　安监总局：如若瞒报人数 决不姑息

　　2017年2月14日1时37分，湖南省娄底涟源市祖保煤矿井下发生爆炸事故，造成6人死亡、4人被困、2人受伤。初步分析属煤尘爆炸或煤尘参与爆炸。从目前看，暴露出该矿现场管理存在的主要问题有：矿井未按照规定申请复产验收，擅自恢复生产、矿井瓦斯管理存在漏洞，出事当天未对机电硐室等处检查瓦斯，另外还存在矿井主要水仓有效容量不满足《煤矿安全规程》要求，排水系统能力不足。事故发生后有媒体爆出矿井存在瞒报死亡人数的情况，对此安监总局也给予了回应。
　　安监总局新闻发言人 杨富：至于刚才这位记者提到的此次事故涉嫌瞒报行为，事故调查组正在认真组织调查，调查组将根据现场调查情况实时公布伤亡数字。对待迟报、漏报、缓报、瞒报行为，总局态度历来坚决，无论涉及到任何人、任何部门，发现一起，严肃查处一起，严肃追究有关人员责任，绝不姑息。
　　浙江台州足浴中心重大火灾事故
　　安监总局：电热膜导电故障引发

　　安监总局同时也通报了另外两起事故调查情况。 2月5日，浙江省台州市天台县赤城街道天台县足馨堂足浴中心发生重大火灾事故，共造成18人死亡、18人受伤。目前已查明事故直接原因为：该足浴中心2号汗蒸房西北角墙面的电热膜导电部分出现故障，产生局部过热，温度持续升高，引燃周围可燃物并蔓延成灾。
　　河北承德KTV爆炸事故
　　安监总局：或为地下污水产生的可燃气体被引爆

　　2月17日，河北省承德市双桥区钱库KTV先后发生3次爆炸，造成附近公交车受损，2名钱库餐饮娱乐有限公司员工受伤。经初步分析，爆炸原因可能为地下污水池内产生可燃气体，达到爆炸浓度遇明火发生爆炸，事故详细原因正在调查中。
　　安监总局部署全国安全大检查
　　在发布会上，国家安监总局还通报了将采取全国安全大检查，来保障安全生产形势稳定。
　　近期，安监总局和煤监局将陆续派出工作组深入市县、企业明查暗访。督促各方面认真履行安全职责，做实做细安全防范工作。
　　安监总局新闻发言人称，另外还要严把复产验收关。对达不到验收标准的，督促其抓紧整改；未经验收擅自复产的，依法严惩。
　　并将做实重点预防工作。预防重点一类是生产领域易导致群死群伤的煤矿、危化品、非煤矿山、道路交通等行业；另一类是严重影响正常生产生活的城市燃气、电力等基础设施领域。同时，要针对气候变化带来的问题，在道路交通、大型临时建筑等方面加强安全管理，防范事故发生，全力维护人民群众生命财产安全。
责任编辑：李伟山 
",201702221750
"
　　原标题：新疆墨玉“12·28”暴恐案三名干部因渎职被捕 两人系村支书
　　[观察者网综合]新疆和田地区墨玉县“12·28”暴恐案件追责已经启动，墨玉县委办公室一名副主任和两名村支书已被逮捕。
人民检察院案件信息公开网网页截图
　　人民检察院案件信息公开网2月20日发布消息：
　　墨玉县“12·28”暴恐案件失职渎职的原墨玉县委办公室副主任艾力·霍加阿卜杜拉因涉嫌玩忽职守一案，经审查，和田地区检察分院对犯罪嫌疑人艾力·霍加阿卜杜拉以玩忽职守罪依法决定逮捕。
　　墨玉县“12·28”暴恐案件失职渎职的原墨玉县雅瓦乡加罕巴格村党支部书记麦麦提尼亚孜·玉苏普涉嫌玩忽职守、贪污一案，经审查，和田地区检察分院对犯罪嫌疑人麦麦提尼亚孜·玉苏普以玩忽职守、贪污罪依法决定逮捕。
　　墨玉县“12·28”暴恐案件失职渎职的原墨玉县雅瓦乡居玛巴扎村党支部书记阿卜杜麦麦提·萨迪尔涉嫌玩忽职守一案，经审查，和田地区检察分院对犯罪嫌疑人阿卜杜麦麦提·萨迪尔以玩忽职守罪依法决定逮捕。
　　2016年12月28日，天山网发布消息，墨玉县及时处置一起暴恐袭击案件。当天16时50分许，4名暴徒驾车冲入新疆墨玉县县委大院，引爆自制爆燃装置，被我处置力量当场全部击毙。案件造成3名人员轻伤、1人死亡。

　　在今年1月5日，新疆维吾尔自治区和田地委委员、墨玉县委书记何军涉嫌严重违纪、失职失责，目前正在接受组织调查。
　　早在去年9月3日，新疆自治区党委书记陈全国到自治区公安厅指挥中心调研时说，对确保一方平安的地方、单位和个人给予表彰奖励，对失职渎职、在稳定方面出现问题的，坚决追究主要负责人、分管负责人和直接责任人的责任。
　　今年2月14日，3名暴徒冲入皮山县城某小区内持刀砍杀群众，公安便民警务站民警一分钟内迅速处置，当场击毙3名暴徒。案件造成10名群众受伤。其中，5人因伤势过重经医院抢救无效死亡。
　　2月16日上午，新疆维吾尔自治区在和田市举行“扬威震慑武装拉动”反恐维稳誓师大会，驻疆武警部队、公安特警、民兵等数千名官兵参加。
　　和田地区日前出台《反暴恐奖励办法》，并设立1亿元群防群治组织参与反暴恐奖励基金，据微信公众号“和田日报”2月22日撰文称，《反暴恐奖励办法》明确提出，对群防群治组织反暴恐的奖励，坚持以经济奖励为主的原则；坚持在地区统一设立奖励基金，一案一奖的原则；坚持个人信息绝对保密和奖励过程适当公开的原则。群众举报涉暴恐违法犯罪线索的奖励标准从2000元到500万不等。
责任编辑：李伟山 
",201702221724
"
　　原标题：中央第十二轮巡视将对29所中管高校党委开展专项巡视 对4个省区开展“回头看” 对4个单位开展“机动式”巡视
　　经中央批准，十八届中央第十二轮巡视将对北京大学、清华大学、北京师范大学、中国农业大学、北京航空航天大学、北京理工大学、南开大学、天津大学、大连理工大学、吉林大学、哈尔滨工业大学、上海交通大学、同济大学、南京大学、东南大学、浙江大学、中国科学技术大学、厦门大学、山东大学、武汉大学、华中科技大学、中南大学、中山大学、重庆大学、四川大学、西安交通大学、西北农林科技大学、西北工业大学、兰州大学等29所中管高校党委开展专项巡视。同时，对内蒙古、吉林、云南、陕西等4个省区开展“回头看”，对中央网络安全和信息化领导小组办公室、国务院扶贫开发领导小组办公室、中国铁路总公司、中国船舶重工集团公司等4个单位试点开展“机动式”巡视。
责任编辑：李伟山 
",201702221925
